id,protein,chains,pdie,ion_conc_M,n_points,waters_dropped,residues_mismatched,prodes_min_V,prodes_max_V,apbs_min_kte,apbs_max_kte,prodes_fraction_positive,apbs_fraction_positive,sign_agreement,apbs_positive_recall,prodes_positive_precision,top_decile_auc,spearman_P_A,spearman_P_C,spearman_C_A,pearson_P_A,slope_volts_per_volt,apbs_seconds
1AO6,serum albumin,2,4.0,0.15,56636,8,4,-4.75,1.92,-13.18,33.43,0.026,0.4518,0.5746,0.0576,1.0,0.9359,0.8055,0.9214,0.9139,0.7753,0.06224,63.4
1BSQ,beta-lactoglobulin,1,4.0,0.15,8466,101,0,-3.36,1.17,-15.62,16.81,0.1,0.3364,0.7647,0.2974,1.0,0.9585,0.8918,0.9784,0.9168,0.8567,0.05272,10.1
1CF3,glucose oxidase,1,4.0,0.15,21129,310,0,-5.02,-0.76,-12.23,10.31,0.0,0.261,0.739,0.0,,0.7625,0.7375,0.9364,0.864,0.6237,0.03909,24.6
1F6R,catalase-like,6,4.0,0.15,29316,168,7,-6.0,-0.58,-128.07,18.02,0.0,0.2645,0.7355,0.0,,0.9455,0.878,0.9414,0.9399,0.6695,0.06147,43.3
1F8N,lipoxygenase,1,4.0,0.15,33488,900,5,-3.11,1.62,-38.97,78.25,0.1733,0.444,0.7196,0.3763,0.964,0.851,0.7828,0.9479,0.8159,0.6706,0.04211,41.4
1OVT,transferrin,1,4.0,0.15,29586,133,2,-2.85,1.6,-17.02,14.3,0.1598,0.4889,0.6659,0.3196,0.978,0.8202,0.7548,0.8778,0.8915,0.6883,0.04993,39.2
1TRH,trypsin-like,1,4.0,0.15,17501,302,0,-4.55,0.89,-8.09,28.86,0.0425,0.3892,0.6527,0.1075,0.9852,0.8765,0.8071,0.9601,0.8837,0.768,0.03476,27.1
3LA4,urease-like,1,4.0,0.15,33289,524,7,-4.4,0.81,-173.68,77.09,0.0156,0.3689,0.6469,0.0423,1.0,0.8651,0.7432,0.8794,0.8946,0.4682,0.04562,57.8
4F5S,amylase,2,4.0,0.15,57478,328,10,-5.06,0.48,-12.46,25.98,0.0009,0.4076,0.5933,0.0021,1.0,0.9105,0.772,0.9091,0.8935,0.7328,0.07187,75.9
4PEP,pepsin,1,4.0,0.15,13813,188,0,-8.04,-3.06,-13.67,7.21,0.0,0.0354,0.9646,0.0,,0.8435,0.77,0.9501,0.8713,0.7625,0.04051,19.0
6FRV,hydrogenase,1,4.0,0.15,16145,28,0,-5.42,-1.51,-12.68,11.37,0.0,0.1285,0.8715,0.0,,0.8316,0.7582,0.9024,0.9115,0.7447,0.05386,16.4
6PO0,catalase,4,4.0,0.15,58743,1567,5,-2.57,1.63,-16.83,24.32,0.2028,0.423,0.7534,0.4453,0.9289,0.9072,0.7794,0.915,0.8916,0.648,0.06498,98.3
AF-P01070,trypsin inhibitor A,1,4.0,0.15,15437,0,0,-3.48,1.64,-8.97,6.42,0.0529,0.4087,0.6438,0.1284,0.9926,0.8679,0.8543,0.9818,0.8877,0.8404,0.03776,33.1
